N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
15,0.466,0.78,0.5,0.999476177744516,0.0002028040383064,,63,4
15,0.491,0.78,0.5,0.9997211289001704,0.0001761726369218,,65,5
15,0.515,0.78,0.5,0.999833606476766,0.0001325202745258,,63,4
15,0.54,0.78,0.5,0.9999301615055588,0.0001077482642136,,62,4
15,0.564,0.78,0.5,0.999946967010953,9.532615951453552e-05,,63,4
15,0.589,0.78,0.5,0.9998858458236768,9.844514864779684e-05,,65,1
15,0.613,0.78,0.5,0.9997177859347292,0.0003074309663503,,60,6
15,0.638,0.78,0.5,0.9991736792336736,0.0006580404157668,,61,4
15,0.662,0.78,0.5,0.9968474028474198,0.0023452898341629,,68,5
15,0.687,0.78,0.5,0.9895551782011536,0.0079593631513377,,68,4
15,0.711,0.78,0.5,0.963659271615699,0.0176989333442789,,65,7
15,0.735,0.78,0.5,0.6205887254628888,0.3968280362707018,,69,0
15,0.76,0.78,0.5,0.3504777784820108,0.3664868543606702,,68,0
15,0.784,0.78,0.5,3.574555365311869e-09,1.406854865085122e-08,,55,15
16,0.001,0.78,0.0,5.547742525575249e-05,7.821816411763004e-05,,44,3
16,0.025,0.78,0.0,0.01905207763909368,0.013157124799283128,,33,0
16,0.05,0.78,0.0,0.038319206993864895,0.015786402508421615,,35,0
16,0.074,0.78,0.0,0.07136645385596284,0.026716807766960397,,33,0
16,0.099,0.78,0.0,0.15803736731844398,0.03415835078342403,,45,0
16,0.123,0.78,0.0,0.31273048375793955,0.06383367788785534,,40,0
16,0.148,0.78,0.0,0.5411284724344353,0.07198059826672668,,35,0
16,0.172,0.78,0.0,0.7236864929694592,0.03662906777062777,,32,0
16,0.197,0.78,0.0,0.8583285594753054,0.019657546316868783,,48,0
16,0.221,0.78,0.0,0.9249264921154751,0.014384927685367496,,38,0
16,0.246,0.78,0.0,0.9587582507678558,0.007930015750295344,,37,0
16,0.27,0.78,0.0,0.9766444058761139,0.0033328266638979675,,33,0
16,0.294,0.78,0.0,0.9877740840088486,0.0017744908400248133,,49,0
16,0.319,0.78,0.0,0.9924146721687566,0.001509207417341415,,35,1
16,0.343,0.78,0.0,0.9955767385490731,0.0009561453888324645,,33,0
16,0.368,0.78,0.0,0.9973273131090167,0.0006690301755681685,,38,0
