N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
14,0.41397,0.13119,PBC,0.0,POLFED,3.9074387041232232,0.0,343,1
14,0.49476,0.45437,PBC,0.0,POLFED,4.260041012112874,0.0,343,1
14,0.33318,0.61596,PBC,0.0,POLFED,4.2050423863853545,0.0,343,1
14,0.09079,0.69675,PBC,0.0,POLFED,0.6847588722159353,0.0,343,1
14,0.29278,0.25238,PBC,0.0,POLFED,3.9016661200238114,0.0,343,1
14,0.17159,0.17159,PBC,0.0,POLFED,1.4682034337222774,0.0,343,1
14,0.45437,0.69675,PBC,0.0,POLFED,4.257886175151548,0.0,343,1
14,0.37357,0.17159,PBC,0.0,POLFED,3.987096277690045,0.0,343,1
14,0.13119,0.41397,PBC,0.0,POLFED,1.10939379180143,0.0,343,1
14,0.57556,0.13119,PBC,0.0,POLFED,4.199171666032219,0.0,343,1
14,0.25238,0.37357,PBC,0.0,POLFED,3.624573508306513,0.0,343,1
14,0.29278,0.53516,PBC,0.0,POLFED,4.079155448562425,0.0,343,1
14,0.61596,0.49476,PBC,0.0,POLFED,4.255142055211199,0.0,343,1
14,0.01,0.33318,PBC,0.0,POLFED,0.0068676374326393,0.0,343,1
14,0.37357,0.01,PBC,0.0,POLFED,2.175240221467957,0.0,343,1
14,0.0504,0.09079,PBC,0.0,POLFED,0.054380847257249,0.0,343,1
14,0.69675,0.33318,PBC,0.0,POLFED,4.220680031004937,0.0,343,1
14,0.33318,0.33318,PBC,0.0,POLFED,4.106932424640003,0.0,343,1
14,0.41397,0.33318,PBC,0.0,POLFED,4.236641565595705,0.0,343,1
14,0.29278,0.21199,PBC,0.0,POLFED,3.5924589622593346,0.0,343,1
14,0.57556,0.61596,PBC,0.0,POLFED,4.262777806943434,0.0,343,1
14,0.13119,0.37357,PBC,0.0,POLFED,1.1243680003038343,0.0,343,1
14,0.25238,0.41397,PBC,0.0,POLFED,3.687299461961129,0.0,343,1
14,0.33318,0.01,PBC,0.0,POLFED,1.2265252484029951,0.0,343,1
14,0.49476,0.09079,PBC,0.0,POLFED,4.032091754732556,0.0,343,1
14,0.0504,0.21199,PBC,0.0,POLFED,0.1473341188398418,0.0,343,1
14,0.73715,0.0504,PBC,0.0,POLFED,3.049352803494971,0.020655423148605,343,2
14,0.53516,0.33318,PBC,0.0,POLFED,4.259761866242656,0.0,343,1
14,0.09079,0.65635,PBC,0.0,POLFED,0.6218153572553728,0.0,343,1
14,0.13119,0.0504,PBC,0.0,POLFED,0.2919106555975374,0.0,343,1
14,0.49476,0.53516,PBC,0.0,POLFED,4.266013863176497,0.0,343,1
14,0.13119,0.73715,PBC,0.0,POLFED,1.3055853434311009,0.0,343,1
14,0.49476,0.25238,PBC,0.0,POLFED,4.248709902361242,0.0,343,1
14,0.61596,0.61596,PBC,0.0,POLFED,4.2552892962020685,0.0,343,1
14,0.09079,0.57556,PBC,0.0,POLFED,0.7316316015597368,0.0,343,1
14,0.61596,0.13119,PBC,0.0,POLFED,4.172714636816853,0.0,343,1
14,0.29278,0.09079,PBC,0.0,POLFED,2.137630681516172,0.0,343,1
