N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
12,0.333176498,0.696750057,PBC,0.0,POLFED,3.470246435,0.007711727,92,4
12,0.333176498,0.131191187,PBC,0.0,POLFED,2.623110323,0.172216395,92,4
12,0.171588249,0.131191187,PBC,0.0,POLFED,1.184653262,0.414078502,92,4
12,0.171588249,0.696750057,PBC,0.0,POLFED,1.826531413,0.092083128,92,4
12,0.656352995,0.777544182,PBC,0.0,POLFED,3.409011067,0.068022979,92,4
12,0.656352995,0.090794124,PBC,0.0,POLFED,3.091126087,0.118639902,92,4
12,0.656352995,0.73714712,PBC,0.0,POLFED,3.468445665,0.033314572,92,4
12,0.73714712,0.37357356,PBC,0.0,POLFED,3.243626747,0.141327248,92,4
12,0.656352995,0.413970622,PBC,0.0,POLFED,3.528512124,0.00856495,92,4
12,0.454367684,0.37357356,PBC,0.0,POLFED,3.547565485,0.001448954,92,4
12,0.575558871,0.252382373,PBC,0.0,POLFED,3.524111661,0.025059803,92,4
12,0.171588249,0.050397062,PBC,0.0,POLFED,0.70194367,0.365100094,92,4
12,0.777544182,0.575558871,PBC,0.0,POLFED,3.134898378,0.132765556,92,4
12,0.131191187,0.211985311,PBC,0.0,POLFED,0.624332324,0.11698475,92,4
12,0.37357356,0.615955933,PBC,0.0,POLFED,3.510765351,0.021360616,92,4
12,0.575558871,0.292779435,PBC,0.0,POLFED,3.54469655,0.011727551,92,4
12,0.211985311,0.211985311,PBC,0.0,POLFED,1.656916821,0.10562057,92,4
12,0.292779435,0.413970622,PBC,0.0,POLFED,3.189034705,0.033342829,92,4
12,0.454367684,0.535161809,PBC,0.0,POLFED,3.554486151,0.003702098,92,4
12,0.73714712,0.535161809,PBC,0.0,POLFED,3.249964006,0.110413465,92,4
12,0.171588249,0.656352995,PBC,0.0,POLFED,1.915074607,0.162177933,92,4
12,0.292779435,0.73714712,PBC,0.0,POLFED,3.347240872,0.011243225,92,4
12,0.292779435,0.090794124,PBC,0.0,POLFED,1.89365734,0.325602311,92,4
12,0.01,0.252382373,PBC,0.0,POLFED,0.040726305,0.059341413,92,4
12,0.575558871,0.050397062,PBC,0.0,POLFED,2.850610287,0.034612292,92,4
12,0.333176498,0.656352995,PBC,0.0,POLFED,3.442144637,0.021684067,92,4
12,0.292779435,0.777544182,PBC,0.0,POLFED,3.361474103,0.038812964,92,4
12,0.333176498,0.050397062,PBC,0.0,POLFED,1.979430849,0.051722314,92,4
12,0.252382373,0.494764746,PBC,0.0,POLFED,3.032782153,0.078656469,92,4
12,0.73714712,0.211985311,PBC,0.0,POLFED,3.03371529,0.077824159,92,4
